MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
2'-deoxyguanosine,"glycosyl ceramide (d18:2/25:1, d18:1/25:2)",behenoyl dihydrosphingomyelin (d18:0/22:0)*,ascorbic acid 2-sulfate,arabitol/xylitol,salicylate,hippurate,3-methylhistidine,X - 25244,3-hydroxypalmitate,X - 23038,fructosyllysine,1-methyladenosine,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),arabitol/xylitol,arabitol/xylitol,3-hydroxyhexanoate,behenoyl dihydrosphingomyelin (d18:0/22:0)*,X - 25244,X - 25244,arabitol/xylitol,salicylate,2-methylserine,"1,2-dilinoleoyl-GPC (18:2/18:2)",behenoyl dihydrosphingomyelin (d18:0/22:0)*,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,behenoyl dihydrosphingomyelin (d18:0/22:0)*
X - 24431,"1,2-dilinoleoyl-GPE (18:2/18:2)*",saccharopine,X - 25244,homocitrulline,"1,5-anhydroglucitol (1,5-AG)",sedoheptulose-7-phosphate,homocitrulline,spermidine,salicylate,N-acetylglutamine,X - 23593,1-methylhistamine,2-methylserine,homocitrulline,X - 25244,aspartate,2-methylserine,arabitol/xylitol,fructosyllysine,X - 25244,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),fructosyllysine,1-methyl-5-imidazoleacetate,X - 23593,guanosine 2'-monophosphate (2'-GMP)*,2-methylserine
CMP,glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,X - 25244,"1,2-dilinoleoyl-GPC (18:2/18:2)",salicylate,beta-citrylglutamate,saccharopine,stachydrine,thioproline,trimethylamine N-oxide,5-oxoproline,1-methyl-5-imidazoleacetate,1-methylhistidine,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,salicylate,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,fructosyllysine,2-methylserine,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,2-methylserine,arabitol/xylitol,2'-deoxycytidine,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),12-HHTrE,betaine,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
ribonate,glycosyl-N-stearoyl-sphingadienine (d18:2/18:0)*,aspartate,3-methylhistidine,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-methyl-5-imidazolelactate,betaine,trimethylamine N-oxide,arabitol/xylitol,X - 10457,N6-carboxymethyllysine,myo-inositol,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,fructosyllysine,"1,2-dilinoleoyl-GPC (18:2/18:2)",behenoyl dihydrosphingomyelin (d18:0/22:0)*,2-methylserine,spermidine,X - 25109,"1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)",X - 25244,arabitol/xylitol,2-methylserine,salicylate,1-methyl-5-imidazoleacetate,2'-deoxycytidine
dimethylglycine,glycosyl-N-stearoyl-sphingosine (d18:1/18:0),"1,2-dilinoleoyl-GPC (18:2/18:2)",2-O-methylascorbic acid,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"1,2-dilinoleoyl-GPC (18:2/18:2)",1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-linoleoyl-GPC (18:2),homocitrulline,N-carbamoylglutamate,1-methyl-5-imidazoleacetate,X - 10457,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"1,5-anhydroglucitol (1,5-AG)",spermidine,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,spermidine,behenoyl dihydrosphingomyelin (d18:0/22:0)*,behenoyl dihydrosphingomyelin (d18:0/22:0)*,homocitrulline,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),fructosyllysine,X - 25244,fructosyllysine,arabitol/xylitol
sebacate (C10-DC),glycosyl-N-tricosanoyl-sphingadienine (d18:2/23:0)*,betaine,arabitol/xylitol,2-methylserine,erythronate*,behenoyl dihydrosphingomyelin (d18:0/22:0)*,X - 23639,salicylate,myo-inositol,X - 25109,N-carbamoylglutamate,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,2-methylserine,X - 25109,trimethylamine N-oxide,X - 23639,1-palmitoleoyl-GPC* (16:1)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,spermidine,behenoyl dihydrosphingomyelin (d18:0/22:0)*,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,N-acetyl-3-methylhistidine*,homocitrulline,arabitol/xylitol,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)
linoleoyl ethanolamide,glycosyl-N-tricosenoyl-sphingosine (d18:1/23:1)*,4-cholesten-3-one,12-HHTrE,fructosyllysine,1-linoleoyl-GPG (18:2)*,salicylate,12-HHTrE,2-O-methylascorbic acid,gamma-glutamylglutamate,behenoyl dihydrosphingomyelin (d18:0/22:0)*,X - 23038,1-oleoyl-GPC (18:1),spermidine,fructosyllysine,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,12-HHTrE,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,"1,5-anhydroglucitol (1,5-AG)",X - 23639,X - 25109,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,X - 25109,methionine sulfone,3-hydroxypalmitate,N-carbamoylglutamate,X - 25109
3-methylhistidine,glycylleucine,succinate,"5,6-dihydrouridine",methionine sulfone,citrulline,succinate,X - 25244,1-palmitoleoyl-GPC* (16:1)*,arabitol/xylitol,2-O-methylascorbic acid,3-hydroxypalmitate,1-palmitoleoyl-GPC* (16:1)*,cysteine-glutathione disulfide,methionine sulfone,X - 23639,homocitrulline,"1,5-anhydroglucitol (1,5-AG)",1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,spermidine,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,fructosyllysine,X - 25244,"1,5-anhydroglucitol (1,5-AG)",2-methylserine,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),N-carbamoylglutamate
X - 25979,glycylvaline,hippurate,2'-deoxyinosine,"1,5-anhydroglucitol (1,5-AG)",linoleate (18:2n6),trigonelline (N'-methylnicotinate),spermidine,2-methylserine,1-methylhistamine,orotidine,trimethylamine N-oxide,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,"1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)",spermidine,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),behenoyl dihydrosphingomyelin (d18:0/22:0)*,homocitrulline,X - 23639,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),N-carbamoylglutamate,X - 16972,N-carbamoylglutamate,aspartate,spermidine
sedoheptulose-7-phosphate,guanidinoacetate,sedoheptulose-7-phosphate,beta-hydroxyisovaleroylcarnitine,1-palmitoleoyl-GPC* (16:1)*,X - 25948,X - 25244,thioproline,fructosyllysine,X - 23171,N-methylpipecolate,gamma-glutamylglutamate,1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,thiamin (Vitamin B1),1-palmitoleoyl-GPC* (16:1)*,1-palmitoleoyl-GPC* (16:1)*,fructosyllysine,thioproline,thiamin (Vitamin B1),1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),1-palmitoleoyl-GPC* (16:1)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,spermidine,spermidine,arabitol/xylitol,X - 25244,X - 25244
behenoyl dihydrosphingomyelin (d18:0/22:0)*,guanosine 2'-monophosphate (2'-GMP)*,pseudouridine,thiamin (Vitamin B1),1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,3-methylhistidine,pseudouridine,arabitol/xylitol,methionine sulfone,orotate,mannonate*,12-HHTrE,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"1,2-dilinoleoyl-GPE (18:2/18:2)*",1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),X - 23639,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),N-methylpipecolate,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),2'-deoxycytidine,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,spermine,myo-inositol,2'-deoxycytidine,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*
1-arachidonoyl-GPE (20:4n6)*,guanosine 3'-monophosphate (3'-GMP),trigonelline (N'-methylnicotinate),spermidine,N-acetyl-1-methylhistidine*,spermidine,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,"1,5-anhydroglucitol (1,5-AG)",phenol sulfate,alpha-ketoglutaramate*,3-hydroxyisobutyrate,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),N-acetyl-1-methylhistidine*,thiamin (Vitamin B1),behenoyl dihydrosphingomyelin (d18:0/22:0)*,X - 25109,homocitrulline,X - 25109,homocitrulline,spermidine,"1,5-anhydroglucitol (1,5-AG)",X - 23593,linoleate (18:2n6),3-hydroxypalmitate,"1,5-anhydroglucitol (1,5-AG)"
stachydrine,erythronate*,1-methyl-5-imidazoleacetate,X - 25948,cysteine-glutathione disulfide,ascorbic acid 2-sulfate,fructose,salicylate,"1,2-dilinoleoyl-GPE (18:2/18:2)*",3-hydroxyisobutyrate,thioproline,1-methylhistamine,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,X - 16972,cysteine-glutathione disulfide,homocitrulline,X - 25244,homocitrulline,X - 23639,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),thiamin (Vitamin B1),"1,5-anhydroglucitol (1,5-AG)",N6-carboxymethyllysine,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,beta-citrylglutamate,X - 10457,N6-carboxymethyllysine
hippurate,docosadienoylcarnitine (C22:2)*,X - 23639,cysteine-glutathione disulfide,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,N-carbamoylglutamate,4-hydroxybutyrate (GHB),fructosyllysine,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,12-HHTrE,methylsuccinate,N-acetylglutamine,12-HHTrE,"N,N,N-trimethyl-alanylproline betaine (TMAP)",1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,N-carbamoylglutamate,"2,4-dihydroxybutyrate",cysteine-glutathione disulfide,N-carbamoylglutamate,thioproline,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),thioproline,X - 10457,behenoyl dihydrosphingomyelin (d18:0/22:0)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,myo-inositol,X - 10457
ribulose/xylulose,dimethylglycine,spermidine,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,"1,2-dilinoleoyl-GPE (18:2/18:2)*",CMP,heme,methionine sulfone,N-acetyl-1-methylhistidine*,guanosine 2'-monophosphate (2'-GMP)*,X - 25422,"1,5-anhydroglucitol (1,5-AG)",15-HETE,X - 25244,"1,2-dilinoleoyl-GPE (18:2/18:2)*",N-methylpipecolate,linoleate (18:2n6),1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1-palmitoleoyl-GPC* (16:1)*,N-methylpipecolate,cysteine-glutathione disulfide,homocitrulline,"N,N,N-trimethyl-alanylproline betaine (TMAP)",X - 10457,phenol sulfate,N-acetylglutamine
X - 23085,dimethylarginine (ADMA + SDMA),thioproline,1-arachidonoyl-GPE (20:4n6)*,3-methylhistidine,X - 25109,citrate,"1,5-anhydroglucitol (1,5-AG)",cysteine-glutathione disulfide,heme,fructosyllysine,phenol sulfate,2'-AMP,"2,4-dihydroxybutyrate",3-methylhistidine,N6-carboxymethyllysine,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,cysteine-glutathione disulfide,N-carbamoylglutamate,N-carbamoylglutamate,N-carbamoylglutamate,X - 25979,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,3-methylhistidine,X - 23593,homocitrulline
1-methylhistamine,arabinose,arabitol/xylitol,1-methyl-5-imidazolelactate,"N,N,N-trimethyl-alanylproline betaine (TMAP)",phosphocholine,arabonate/xylonate,1-palmitoleoyl-GPC* (16:1)*,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,arabonate/xylonate,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,5-oxoproline,2'-O-methylcytidine,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,"N,N,N-trimethyl-alanylproline betaine (TMAP)",thioproline,X - 25856,1-palmitoleoyl-GPC* (16:1)*,N6-carboxymethyllysine,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,N6-carboxymethyllysine,"N,N,N-trimethyl-alanylproline betaine (TMAP)",aspartate,phenol sulfate,spermidine,"N,N,N-trimethyl-alanylproline betaine (TMAP)",X - 25979
leucylglycine,arabitol/xylitol,homocitrulline,2-aminoheptanoate,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,spermine,lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,1-linoleoyl-GPC (18:2),3-hydroxystearate,2'-deoxycytidine,1-palmitoleoyl-GPC* (16:1)*,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"N,N,N-trimethyl-alanylproline betaine (TMAP)",3-methylhistidine,thioproline,"N,N,N-trimethyl-alanylproline betaine (TMAP)",1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,N-acetylglutamine,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),"1,5-anhydroglucitol (1,5-AG)",X - 23171,aspartate
4-guanidinobutanoate,arabonate/xylonate,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),2-methylserine,"5,6-dihydrouridine",2-methylserine,oxalate (ethanedioate),N-acetyl-1-methylhistidine*,1-methyl-5-imidazoleacetate,citrate,X - 23026,N6-carboxymethyllysine,2'-deoxyguanosine,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4)*,"5,6-dihydrouridine",1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,arabitol/xylitol,N6-carboxymethyllysine,phenol sulfate,N6-carboxymethyllysine,thioproline,methionine sulfone,1-palmitoleoyl-GPC* (16:1)*,stachydrine,gamma-glutamylglutamate,gamma-aminobutyrate (GABA),1-palmitoleoyl-GPC* (16:1)*
N1-methylinosine,arachidoyl ethanolamide (20:0)*,fructosyllysine,gamma-glutamylglutamate,"2,4-dihydroxybutyrate",1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1-oleoyl-GPC (18:1),cysteine-glutathione disulfide,X - 23085,fructose,1-methylhistamine,X - 25109,2'-deoxyinosine,methionine sulfone,"2,4-dihydroxybutyrate",cysteine-glutathione disulfide,N-carbamoylglutamate,"1,2-dilinoleoyl-GPE (18:2/18:2)*",aspartate,cysteine-glutathione disulfide,cysteine-glutathione disulfide,3-methylhistidine,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),guanosine 2'-monophosphate (2'-GMP)*,X - 25109,hippurate,X - 25856
X - 22810,argininate*,methionine sulfone,fructosyllysine,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),2'-deoxyinosine,acetylcarnitine (C2),1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,3-methylhistidine,oxalate (ethanedioate),betaine,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,"2,4-dihydroxybutyrate",spermine,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),phenol sulfate,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,N-methylpipecolate,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),2'-deoxycytidine,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,1-palmitoleoyl-GPC* (16:1)*,"N,N,N-trimethyl-alanylproline betaine (TMAP)",2'-deoxycytidine,gamma-aminobutyrate (GABA),gamma-glutamylglutamate,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
argininate*,ascorbic acid 2-sulfate,"1,5-anhydroglucitol (1,5-AG)",phosphocholine,N-methylpipecolate,1-methyladenosine,urate,"1,2-dilinoleoyl-GPE (18:2/18:2)*","N,N,N-trimethyl-alanylproline betaine (TMAP)",1-oleoyl-GPC (18:1),2-methylserine,orotate,2-O-methylascorbic acid,X - 25109,N-methylpipecolate,3-methylhistidine,4-cholesten-3-one,N-carbamoylglutamate,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,3-methylhistidine,phenol sulfate,N6-carboxymethyllysine,1-arachidonoyl-GPE (20:4n6)*,glutarylcarnitine (C5-DC),citrulline,saccharopine,1-arachidonoyl-GPE (20:4n6)*
