MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
H2AZ1,TTLL3,KIF3C,AP1M1,TRIO,ANKRD11,KHDRBS3,UBAP1,LINC03072,C1orf52,TNPO3,RHOT1,FAM220A,YARS2,TRIO,ADCY9,HEXIM1,KLHL29,SNX27,TMEM147-AS1,ASB16-AS1,UBE2Q1,CTNND2,KCMF1,CCT2,RAP1GAP2,STAU1
NPAS2,UBAP1,PFKP,ANKRD52,TBCK,NPAS2,C19orf48P,LINC03072,TRIO,DRD1,TFE3,LINC02607,FAM53C,ST7-AS1,TBCK,CEP19,LINC00467,MC4R,YARS2,RAP1GAP2,SNX27,GOLPH3,STAU1,RAP1GAP2,TTBK1,ARHGAP19-SLIT1,UHMK1
TMEM123-DT,UBE2Q1,GOLPH3L,MBOAT7,UHMK1,PNPLA6,PHF23,LRRN2,UHMK1,LINC01102,CDC6,CELF4,FBXO24,SRRM2-AS1,UHMK1,DUSP19,CBL,RSPO3,LOC105376654,YARS2,FAM53C,CCT5,UHMK1,MRPS6,SNX16,FAM220A,ARHGAP19-SLIT1
FAM53C,UHMK1,CACNA1H,RAPGEF1,ANKRD11,PNRC2,MIRLET7IHG,TBCK,PPID,BSN,RN7SL832P,GID4,FGFR1OP2,NIM1K,ANKRD11,FILIP1L,XPO7,CZIB,LINC00467,HUS1,KLHL29,NUDT9,ARHGAP19-SLIT1,HEXIM1,KLHL29,PPP6R1,CCDC191
RN7SL832P,UNC5A,SEPTIN7-DT,PDS5A,PPID,MLLT3,CNOT4,TRIO,MBOAT7,RANBP9,LINC02607,ZNF662,FILIP1L,CTNND2,PPID,RAPGEF1,FGFR1OP2,KIF3C,FAM53C,SNX27,RAP1GAP2,LOC105376654,CCDC191,RPRM,FILIP1L,RALBP1,LOC105376654
NTN5,USP35,TMEM243,NTN5,SLC5A3,DYNLL1,TTC23-AS1,ANKRD11,ADCY9,MIRLET7IHG,BICD2,HECA,FOXK2,RFX3-DT,SLC5A3,TTBK1,NMT1,TFE3,ACTN1,TOM1L1,CCDC191,KIF3C,LOC105376654,ARMCX2,STAU1,CCDC191,S100B
GNPNAT1,XPA,ING1,RALBP1,GOLPH3L,LRRC57,DCST2,PPID,SLC5A3,CCDC127,SIRT4,TTC23-AS1,FPGS,RN7SL832P,GOLPH3L,LINC00467,ING1,PARLP2,CCDC191,UBE2Q1,CNOT4,RNF31,S100B,DUSP19,LINC02607,SNX16,PARLP2
UNC5A,XPO7,C19orf48P,ZMAT1,MBOAT7,GNPNAT1,DUSP19,SLC5A3,SCN3A,BLTP2,SMIM14-DT,BSN,GID4,TRIM45,MBOAT7,ASB16-AS1,PHF23,TTBK1,RALBP1,PNRC2,TOM1L1,DRD1,PARLP2,GNPNAT1,NSMCE3,POLG,SNX16
PIP5K1C,YARS2,CHIC2,TMEM243,SNX16,MIRLET7IHG,CEP76,GOLPH3L,BRD9,DCST2,FGFR1OP2,TNPO3,GNPNAT1,CDC6,SNX16,EFNB2,NPY1R,ORAI2,SRRM2-AS1,SAP130,YARS2,PHF23,SNX16,CEP19,RANBP9,NCKAP1,ACTN1
TTC23-AS1,YY1,LINC00467,CDK8,SCN3A,CSNK2A2,CEP19,MBOAT7,NIM1K,CACNA1H,TRIO,SIRT4,GOLPH3,LRRN2,SCN3A,FAM53C,KLHL29,CTNND2,CHIC2,CCT2,LINC00467,SLC5A3,ACTN1,CMTM4,KHDRBS3,NMT1,YARS2
ARHGAP19-SLIT1,ZMAT1,KLHL1,ATP1B3,BRD9,NPY1R,SNX16,SNX16,LRRN2,BICD2,PPP6R1,GNPNAT1,GOLPH3L,XPA,BRD9,CTNND2,NHSL3,CNOT4,DUSP19,NPY1R,FILIP1L,SAP130,YARS2,FPGS,HUS1,HEXIM1,DRD1
AP1M1,ZNF280B,MIRLET7IHG,INKA2,NIM1K,USP35,C9orf40,SCN3A,CDC6,DNAJC27-AS1,NPEPPS,TFE3,GPR199P,CCDC191,NIM1K,RALBP1,RHOT1,CCDC191,CEP19,RALBP1,SAP130,BRD9,DRD1,ING1,FGFR1OP2,FGFR1OP2,POLG
RABIF,ZNF596,NUDT9,TTBK1,LRRN2,SIMC1,CTNND2,BRD9,TRAPPC6A,GPR199P,FBXO24,PDS5A,GPR63,MIRLET7IHG,LRRN2,TOM1L1,PIP5K1C,SAP130,MRPS6,SAMTOR,CTNND2,UBAP1,POLG,C19orf48P,MAST2,HUS1,NMT1
IRF2-DT,TMEM147-AS1,PARLP2,CEP19,CDC6,SIRT4,LINC00467,UHMK1,ANKRD52,ELAVL1,RSPO3,YY1,H2AZ1,DCST2,CDC6,DRD1,ST7-AS1,NPY1R,LRRN2,RSPO3,TNPO3,CRKL,ATP1B3,S100B,RNF31,FILIP1L,TRIM45
MBD1,TFE3,DCST2,KLHL29,TRAPPC6A,SNTB2,SEPTIN7-DT,AHSA1,SNX16,FBXO24,FOXK2,HTR1E,HECA,CRKL,TRAPPC6A,SNX16,CTNND2,HECA,BRD9,CMTM4,CCT2,SNX27,NMT1,PIK3R2,ING1,PNRC2,CZIB
DCST2,RNF31,SNTB2,PAN3-AS1,ANKRD52,PARLP2,PRICKLE2,NIM1K,CTNND2,CELF4,ZNF662,MC4R,HEXIM1,UNC5A,ANKRD52,NUDT9,SAMTOR,FAM53C,ARMCX2,PHF23,RAPGEF1,ZMAT1,TRIM45,CCT5,OTUD4,CTNND2,RNF31
GOLPH3,TCF20,CRKL,RSPO3,H2AZ1,SENP3,CZIB,CDC6,GPR63,DYNLL1,HTR1E,RFX3-DT,HTR1E,SAMTOR,H2AZ1,CZIB,ATP1B3,UHMK1,TMEM243,CCDC191,ARMCX2,FGFR1OP2,RNF31,TMEM147-AS1,KIF3C,PARLP2,FILIP1L
MAPK13,RPRM,INKA2,LINC02607,KCNK2,NCKAP1,CCT2,PARLP2,FPGS,TFE3,KIF3C,CLCN6,HUS1,CDK8,KCNK2,RNF31,RFX3-DT,TOM1L1,TNPO3,CNOT4,TCF20,TNPO3,FILIP1L,NUDT9,FOXK2,CCT2,FGFR1OP2
LRRN2,RSPO3,TTBK1,DUSP19,SAP130,RALBP1,MLLT3,TOM1L1,POLG,TTBK1,HEXIM1,BICD2,ING1,UBAP1,SAP130,RSPO3,KHDRBS3,RALBP1,CACNA1H,NUDT9,DRD1,SNTB2,FGFR1OP2,PHF23,CHIC2,NPEPPS,SRRM2-AS1
SNX16,S100B,GPR199P,HEXIM1,CTNND2,CTNND2,ORAI2,KCNK2,CCDC191,SEPTIN7-DT,CELF4,CNOT4,INKA2,APOM,CTNND2,C19orf48P,UNC5A,NUDT9,DRD1,TNPO3,TTBK1,KHDRBS3,SRRM2-AS1,TMEM123-DT,RHOT1,USP35,RALBP1
ANKRD11,SAMTOR,LRRC57,GPR199P,NPY1R,NT5C,GPR63,SAP130,DNAJB6,KIF21B,TTLL3,TOM1L1,IRF2-DT,CGGBP1,NPY1R,PHF23,KLHL1,LRRC57,ASB16-AS1,ORAI2,UBE2Q1,CBL,ZNF662,SLC5A3,TMEM147-AS1,ING1,C19orf48P
